Symbol,Company,Headquarter,Year First Added
MCHP,Information Technology,"Chandler, Arizona",2007
MU,Information Technology,"Boise, Idaho",1994
MSFT,Information Technology,"Redmond, Washington",1994
MAA,Real Estate,"Memphis, Tennessee",2016
MRNA,Health Care,"Cambridge, Massachusetts",2021
MHK,Consumer Discretionary,"Calhoun, Georgia",2013
MOH,Health Care,"Long Beach, California",2022
TAP,Consumer Staples,"Chicago, Illinois",1976
MDLZ,Consumer Staples,"Chicago, Illinois",2012
MPWR,Information Technology,"Kirkland, Washington",2021
MNST,Consumer Staples,"Corona, California",2012
MCO,Financials,"New York City, New York",1998
MS,Financials,"New York City, New York",1993
MOS,Materials,"Tampa, Florida",2011
MSI,Information Technology,"Chicago, Illinois",1957
MSCI,Financials,"New York City, New York",2018
NDAQ,Financials,"New York City, New York",2008
NTAP,Information Technology,"San Jose, California",1999
NFLX,Communication Services,"Los Gatos, California",2010
NEM,Materials,"Denver, Colorado",1969
NWSA,Communication Services,"New York City, New York",2013
NWS,Communication Services,"New York City, New York",2015
NEE,Utilities,"Juno Beach, Florida",1976
NKE,Consumer Discretionary,"Washington County, Oregon",1988
NI,Utilities,"Merrillville, Indiana",2000
NDSN,Industrials,"Westlake, Ohio",2022
NSC,Industrials,"Atlanta, Georgia",1957
NTRS,Financials,"Chicago, Illinois",1998
NOC,Industrials,"West Falls Church, Virginia",1957
NCLH,Consumer Discretionary,"Miami, Florida",2017
NRG,Utilities,"Houston, Texas",2010
NUE,Materials,"Charlotte, North Carolina",1985
NVDA,Information Technology,"Santa Clara, California",2001
NVR,Consumer Discretionary,"Reston, Virginia",2019
NXPI,Information Technology,"Eindhoven, Netherlands",2021
ORLY,Consumer Discretionary,"Springfield, Missouri",2009
OXY,Energy,"Houston, Texas",1957
ODFL,Industrials,"Thomasville, North Carolina",2019
OMC,Communication Services,"New York City, New York",1997
ON,Information Technology,"Phoenix, Arizona",2022
OKE,Energy,"Tulsa, Oklahoma",2010
ORCL,Information Technology,"Austin, Texas",1989
OTIS,Industrials,"Farmington, Connecticut",2020
PCAR,Industrials,"Bellevue, Washington",1980
PKG,Materials,"Lake Forest, Illinois",2017
PANW,Information Technology,"Santa Clara, California",2023
PARA,Communication Services,"New York City, New York",1994
PH,Industrials,"Cleveland, Ohio",1985
PAYX,Industrials,"Penfield, New York",1998
PAYC,Industrials,"Oklahoma City, Oklahoma",2020
PYPL,Financials,"San Jose, California",2015
PNR,Industrials,"Worsley, United Kingdom",2012
PEP,Consumer Staples,"Purchase, New York",1957
PFE,Health Care,"New York City, New York",1957
PCG,Utilities,"San Francisco, California",2022
PM,Consumer Staples,"New York City, New York",2008
PSX,Energy,"Houston, Texas",2012
PNW,Utilities,"Phoenix, Arizona",1999
PNC,Financials,"Pittsburgh, Pennsylvania",1988
POOL,Consumer Discretionary,"Covington, Louisiana",2020
PPG,Materials,"Pittsburgh, Pennsylvania",1957
PPL,Utilities,"Allentown, Pennsylvania",2001
PFG,Financials,"Des Moines, Iowa",2002
PG,Consumer Staples,"Cincinnati, Ohio",1957
PGR,Financials,"Mayfield Village, Ohio",1997
PLD,Real Estate,"San Francisco, California",2003
PRU,Financials,"Newark, New Jersey",2002
PEG,Utilities,"Newark, New Jersey",1957
PTC,Information Technology,"Boston, Massachusetts",2021
PSA,Real Estate,"Glendale, California",2005
PHM,Consumer Discretionary,"Atlanta, Georgia",1984
QRVO,Information Technology,"Greensboro, North Carolina",2015
PWR,Industrials,"Houston, Texas",2009
QCOM,Information Technology,"San Diego, California",1999
DGX,Health Care,"Secaucus, New Jersey",2002
RL,Consumer Discretionary,"New York City, New York",2007
RJF,Financials,"St. Petersburg, Florida",2017
RTX,Industrials,"Waltham, Massachusetts",1957
O,Real Estate,"San Diego, California",2015
REG,Real Estate,"Jacksonville, Florida",2017
REGN,Health Care,"Tarrytown, New York",2013
RF,Financials,"Birmingham, Alabama",1998
RSG,Industrials,"Phoenix, Arizona",2008
RMD,Health Care,"San Diego, California",2017
RVTY,Health Care,"Waltham, Massachusetts",1985
ROK,Industrials,"Milwaukee, Wisconsin",2000
ROL,Industrials,"Atlanta, Georgia",2018
ROP,Information Technology,"Sarasota, Florida",2009
ROST,Consumer Discretionary,"Dublin, California",2009
RCL,Consumer Discretionary,"Miami, Florida",2014
SPGI,Financials,"New York City, New York",1957
CRM,Information Technology,"San Francisco, California",2008
SBAC,Real Estate,"Boca Raton, Florida",2017
SLB,Energy,"Houston, Texas",1957
STX,Information Technology,"Dublin, Ireland",2012
SRE,Utilities,"San Diego, California",2017
NOW,Information Technology,"Santa Clara, California",2019
SHW,Materials,"Cleveland, Ohio",1964
SPG,Real Estate,"Indianapolis, Indiana",2002
SWKS,Information Technology,"Irvine, California",2015
SJM,Consumer Staples,"Orrville, Ohio",2008
SW,Materials,"Dublin, Ireland",1957
SNA,Industrials,"Kenosha, Wisconsin",1982
SOLV,Health Care,"Saint Paul, Minnesota",2024
SO,Utilities,"Atlanta, Georgia",1957
LUV,Industrials,"Dallas, Texas",1994
SWK,Industrials,"New Britain, Connecticut",1982
SBUX,Consumer Discretionary,"Seattle, Washington",2000
STT,Financials,"Boston, Massachusetts",2003
STLD,Materials,"Fort Wayne, Indiana",2022
STE,Health Care,"Dublin, Ireland",2019
SYK,Health Care,"Kalamazoo, Michigan",2000
SMCI,Information Technology,"San Jose, California",2024
SYF,Financials,"Stamford, Connecticut",2015
SNPS,Information Technology,"Sunnyvale, California",2017
SYY,Consumer Staples,"Houston, Texas",1986
TMUS,Communication Services,"Bellevue, Washington",2019
TROW,Financials,"Baltimore, Maryland",2019
TTWO,Communication Services,"New York City, New York",2018
TPR,Consumer Discretionary,"New York City, New York",2004
TRGP,Energy,"Houston, Texas",2022
TGT,Consumer Staples,"Minneapolis, Minnesota",1976
TEL,Information Technology,"Schaffhausen, Switzerland",2011
TDY,Information Technology,"Thousand Oaks, California",2020
TFX,Health Care,"Wayne, Pennsylvania",2019
TER,Information Technology,"North Reading, Massachusetts",2020
TSLA,Consumer Discretionary,"Austin, Texas",2020
TXN,Information Technology,"Dallas, Texas",2001
TXT,Industrials,"Providence, Rhode Island",1978
TMO,Health Care,"Waltham, Massachusetts",2004
TJX,Consumer Discretionary,"Framingham, Massachusetts",1985
TSCO,Consumer Discretionary,"Brentwood, Tennessee",2014
TT,Industrials,"Dublin, Ireland",2010
TDG,Industrials,"Cleveland, Ohio",2016
TRV,Financials,"New York City, New York",2002
TRMB,Information Technology,"Westminster, Colorado",2021
TFC,Financials,"Charlotte, North Carolina",1997
TYL,Information Technology,"Plano, Texas",2020
TSN,Consumer Staples,"Springdale, Arkansas",2005
USB,Financials,"Minneapolis, Minnesota",1999
UBER,Industrials,"San Francisco, California",2023
UDR,Real Estate,"Highlands Ranch, Colorado",2016
ULTA,Consumer Discretionary,"Bolingbrook, Illinois",2016
UNP,Industrials,"Omaha, Nebraska",1957
UAL,Industrials,"Chicago, Illinois",2015
UPS,Industrials,"Sandy Springs, Georgia",2002
URI,Industrials,"Stamford, Connecticut",2014
UNH,Health Care,"Minnetonka, Minnesota",1994
UHS,Health Care,"King of Prussia, Pennsylvania",2014
VLO,Energy,"San Antonio, Texas",2002
VTR,Real Estate,"Chicago, Illinois",2009
VLTO,Industrials,"Waltham, Massachusetts",2023
VRSN,Information Technology,"Dulles, Virginia",2006
VRSK,Industrials,"Jersey City, New Jersey",2015
VZ,Communication Services,"New York City, New York",1983
VRTX,Health Care,"Boston, Massachusetts",2013
VTRS,Health Care,"Pittsburgh, Pennsylvania",2004
VICI,Real Estate,"New York City, New York",2022
V,Financials,"San Francisco, California",2009
VST,Utilities,"Irving, Texas",2024
VMC,Materials,"Birmingham, Alabama",1999
WRB,Financials,"Greenwich, Connecticut",2019
GWW,Industrials,"Lake Forest, Illinois",1981
WAB,Industrials,"Pittsburgh, Pennsylvania",2019
WBA,Consumer Staples,"Deerfield, Illinois",1979
WMT,Consumer Staples,"Bentonville, Arkansas",1982
DIS,Communication Services,"Burbank, California",1976
WBD,Communication Services,"New York City, New York",2022
WM,Industrials,"Houston, Texas",1998
WAT,Health Care,"Milford, Massachusetts",2002
WEC,Utilities,"Milwaukee, Wisconsin",2008
WFC,Financials,"San Francisco, California",1976
WELL,Real Estate,"Toledo, Ohio",2009
WST,Health Care,"Exton, Pennsylvania",2020
WDC,Information Technology,"San Jose, California",2009
WY,Real Estate,"Seattle, Washington",1979
WMB,Energy,"Tulsa, Oklahoma",1975
WTW,Financials,"London, United Kingdom",2016
WYNN,Consumer Discretionary,"Paradise, Nevada",2008
XEL,Utilities,"Minneapolis, Minnesota",1957
XYL,Industrials,"White Plains, New York",2011
YUM,Consumer Discretionary,"Louisville, Kentucky",1997
ZBRA,Information Technology,"Lincolnshire, Illinois",2019
ZBH,Health Care,"Warsaw, Indiana",2001
ZTS,Health Care,"Parsippany, New Jersey",2013
